able	a.ble
ablution	ab.lu.tion
abode	a.bode
absorb	ab.sorb
abyssinian	ab.ys.sin.i.an
acquainted	ac.quaint.ed
actors	ac.tors
adamant	ad.a.mant
afar	a.far
age	age
ago	a.go
ahmy	ah.my
aim	aim
airand	air.and
alike	a.like
all	all
almost	al.most
alone	a.lone
also	al.so
am	am
an	an
ancient	an.cient
anger	an.ger
another	a.noth.er
antique	an.tique
anvil	an.vil
any	an.y
apace	a.pace
appears	ap.pears
armes	armes
armor	ar.mor
arrowes	ar.rowes
asked	asked
assume	as.sume
athwart	a.thwart
awoke	a.woke
backwards	back.wards
balloon	bal.loon
bare	bare
barks	barks
bating	bat.ing
beach	beach
beacons	bea.cons
beams	beams
bears	bears
beast	beast
beat	beat
beautiful	beau.ti.ful
beauty	beau.ty
be	be
become	be.come
bed	bed
began	be.gan
behind	be.hind
behold	be.hold
beholds	be.holds
bell	bell
bellies	bel.lies
bells	bells
betrothed	be.trothed
better	bet.ter
between	be.tween
beware	be.ware
bidding	bid.ding
billows	bil.lows
birth	birth
bite	bite
blackbrowed	black.browed
blank	blank
blast	blast
blindly	blind.ly
blithe	blithe
blood	blood
blown	blown
blows	blows
blush	blush
bold	bold
boon	boon
bottoms	bot.toms
boughs	boughs
bow	bow
boy	boy
bracelets	brace.lets
brag	brag
brand	brand
breaks	breaks
breast	breast
breasting	breast.ing
breath	breath
brightness	bright.ness
brillig	bril.lig
brimfull	brim.full
bring	bring
broods	broods
brook	brook
brought	brought
brow	brow
brows	brows
bugles	bu.gles
burbled	bur.bled
burnt	burnt
burst	burst
bursts	bursts
but	but
by	by
callooh	cal.looh
came	came
camp	camp
carelessness	care.less.ness
carven	carv.en
cast	cast
catching	catch.ing
caught	caught
causeway	cause.way
caverns	cav.erns
cawed	cawed
ceaselessly	cease.less.ly
cedarn	ce.darn
chaffy	chaf.fy
chain	chain
chair	chair
changing	chang.ing
charged	charged
chasm	chasm
chasm	chas.m
chatter	chat.ter
chevalier	che.val.ier
chide	chide
childishness	child.ish.ness
choirs	cho.irs
chortled	chor.tled
chryst	chryst
city	cit.y
clad	clad
clasped	clasped
cleanly	clean.ly
clematis	cle.ma.tis
clever	clev.er
climbing	climb.ing
climbs	climbs
climbst	climbst
clime	clime
close	close
closing	clos.ing
clouds	clouds
cloudy	cloud.y
cluster	clus.ter
coarsespun	coarse.spun
command	com.mand
common	com.mon
compete	com.pete
constant	con.stant
consuming	con.sum.ing
controls	con.trols
coomb	coomb
corn	corn
course	course
crack	crack
craggy	crag.gy
crawls	crawls
creeping	creep.ing
cried	cried
cries	cries
crisped	crisp.ed
cross	cross
crossed	crossed
crown	crown
cultured	cul.tured
cunning	cun.ning
curious	cur.i.ous
current	cur.rent
cutting	cut.ting
dactyl	dac.tyl
daffodil	daf.fo.dil
damsel	dam.sel
dancing	danc.ing
dangerous	dan.ger.ous
danish	dan.ish
dappledawndrawn	dap.ple.dawn.drawn
dare	dare
darkling	dark.ling
darling	dar.ling
date	date
days	days
deaf	deaf
dearly	dear.ly
death	death
deeds	deeds
deemd	deemd
deep	deep
deigned	deigned
delicate	del.i.cate
delight	de.light
den	den
depart	de.part
descends	de.scends
descries	de.scries
desired	de.si.red
desire	de.si.re
despair	des.pair
despising	de.spis.ing
dick	dick
did	did
difficult	dif.fi.cult
dim	dim
dimmed	dimmed
dingdong	ding.dong
disgrace	dis.grace
dissolve	dis.solve
distant	dis.tant
disturbed	dis.turbed
diverse	di.verse
divided	div.id.ed
divines	di.vines
do	do
doff	doff
dom	dom
doom	doom
dotes	dotes
doubt	doubt
down	down
drags	drags
drained	drained
draw	draw
dreamed	dreamed
drizzling	driz.zling
droop	droop
drop	drop
drops	drops
drowned	drowned
drunkard	drunk.ard
drunk	drunk
dry	dry
dulcimer	dul.ci.mer
dulcimer	dul.cim.er
duty	du.ty
dwelt	dwelt
each	each
ear	ear
earliest	ear.li.est
earthand	earth.and
earth	earth
easiest	eas.i.est
eastward	east.ward
easy	eas.y
eclipsing	e.clips.ing
ecstasy	ec.sta.sy
eight	eight
elmtops	elm.tops
embark	em.bark
embers	em.bers
embroidered	em.broi.dered
enchanted	en.chant.ed
ends	ends
enfolding	en.fold.ing
enough	e.nough
enthrall	en.thrall
envy	en.vy
enwrought	en.wrought
equanimity	e.qua.ni.mi.ty
eremite	er.e.mite
eternal	e.ter.nal
eve	eve
even	e.ven
everduring	e.ver.dur.ing
ever	e.ver
every	eve.ry
everything	ever.y.thing
evn	evn
exult	ex.ult
eye	eye
eyes	eyes
faces	fac.es
fade	fade
fadeth	fad.eth
faerys	fae.rys
faintest	faint.est
faints	faints
fairest	fair.est
falling	fall.ing
false	false
famous	fa.mous
fancy	fan.cy
feare	feare
fear	fear
fearfully	fear.ful.ly
fears	fears
featherd	fea.therd
feather	feath.er
featured	fea.tured
feel	feel
fellowship	fel.low.ship
fertile	fer.tile
feverdew	fe.ver.dew
fields	fields
fiery	fi.e.ry
fieryfooted	fi.er.y.foot.ed
finger	fin.ger
fire	fi.re
fires	fi.res
first	first
flee	flee
fleet	fleet
flew	flew
flowrs	flowrs
flung	flung
foe	foe
foil	foil
folds	folds
foolish	foo.lish
fools	fools
forever	for.e.ver
forever	for.ev.er
for	for
forget	for.get
forgot	for.got
former	for.mer
fortune	for.tune
forward	for.ward
frabjous	frab.jous
fragrant	frag.rant
freckled	freck.led
free	free
freezing	freez.ing
fright	fright
fro	fro
from	from
frost	frost
frozen	fro.zen
furnace	fur.nace
furness	fur.ness
furrowed	fur.rowed
gain	gain
gall	gall
gallop	gal.lop
gardens	gar.dens
garland	gar.land
gash	gash
gasp	gasp
gathered	gath.ered
gazed	gazed
gazes	gaz.es
generations	gen.er.a.tions
germains	ger.mains
gifts	gifts
girdled	gir.dled
girls	girls
given	giv.en
globe	globe
goes	goes
golden	gold.en
goldvermilion	gold.ver.mil.ion
gone	gone
goodmorrow	good.mor.row
goodnight	good.night
gorgeous	gor.geous
grace	grace
graces	grac.es
grain	grain
granary	gran.a.ry
gray	gray
grief	grief
groves	groves
grow	grow
growst	growst
growth	growth
guilty	guil.ty
guns	guns
gyre	gyre
had	had
hadst	hadst
hail	hail
hair	hair
half	half
halfmoon	half.moon
halfthawed	half.thawed
hammer	ham.mer
hampton	hamp.ton
hang	hang
haply	hap.ly
happie	hap.pie
happy	hap.py
harder	hard.er
harshness	harsh.ness
harvests	har.vests
hast	hast
hasty	hast.y
haue	haue
haunted	haun.ted
have	have
hawk	hawk
head	head
headheavy	head.heav.y
heard	heard
hear	hear
heavens	heavens
heavens	heav.ens
heavy	heav.y
held	held
hell	hell
helmethidden	hel.met.hid.den
hempen	hem.pen
hence	hence
herself	her.self
hide	hide
highness	high.ness
hoarse	hoarse
hold	hold
hollow	hol.low
holy	ho.ly
honeydew	hon.ey.dew
honour	hon.our
hoping	hop.ing
horse	horse
howling	howl.ing
human	hu.man
idle	i.dle
if	if
imagined	i.mag.ined
incensebearing	in.cense.bear.ing
inconstant	in.con.stant
inglorious	in.glor.i.ous
ingulft	in.gulft
in	in
inmost	in.most
insubstantial	in.sub.stan.tial
is	is
jewel	jew.el
jubjub	jub.jub
julia	ju.li.a
kew	kew
khan	khan
kindly	kind.ly
king	king
kingly	king.ly
kisses	kiss.es
kneeling	kneel.ing
knees	knees
knew	knew
knighted	knight.ed
knights	knights
know	know
labor	la.bor
laid	laid
lain	lain
la	la
languisht	lan.guisht
large	large
lark	lark
lash	lash
late	late
latest	lat.est
latter	la.tter
latter	lat.ter
laughing	laugh.ing
laughter	laugh.ter
lead	lead
leaf	leaf
lean	lean
leapt	leapt
learnd	learnd
lease	lease
leaves	leaves
left	left
less	less
let	let
life	life
lighted	light.ed
lightning	light.ning
limbs	limbs
lines	lines
lips	lips
liquefaction	li.que.fac.tion
liquid	liq.uid
little	lit.tle
lived	lived
live	live
lodging	lodg.ing
lofty	loft.y
lonely	lone.ly
longing	long.ing
looks	looks
looped	looped
lost	lost
loud	loud
lovd	lov.d
lovelier	love.li.er
love	love
loverless	lo.ver.less
lover	lo.ver
loves	loves
loving	lov.ing
lowest	low.est
low	low
lulld	lull.d
maids	maids
main	main
mannadew	man.na.dew
mask	mask
mate	mate
mayst	mayst
mazes	maz.es
measured	mea.sured
meek	meek
meets	meets
melted	melt.ed
memories	me.mo.ries
memory	mem.o.ry
mighty	might.y
mild	mild
mimsy	mim.sy
mind	mind
mire	mire
mirrors	mir.rors
mischievous	mis.chie.vous
mixed	mixed
mockeries	mock.er.ies
moist	moist
monstrous	mon.strous
moods	moods
moors	moors
more	more
morning	mor.ning
morning	morn.ing
most	most
mother	moth.er
motion	mo.tion
mould	mould
moulds	moulds
mount	mount
mourning	mourn.ing
moves	moves
murmur	mur.mur
music	mu.sic
name	name
nay	nay
near	near
neck	neck
nectar	nec.tar
needs	needs
neighbours	neigh.bours
never	ne.ver
never	nev.er
nigh	nigh
night	night
nobly	no.bly
nook	nook
north	north
norward	nor.ward
nothing	no.thing
not	not
now	now
nowperchance	now.per.chance
numbers	num.bers
nuns	nuns
oakcleaving	oak.cleav.ing
object	ob.ject
occur	oc.cur
oer	oer
oft	oft
one	one
orchises	or.chis.es
orisons	or.i.sons
out	out
ozymandias	oz.y.man.di.as
pacing	pac.ing
pain	pain
palely	pale.ly
pallor	pal.lor
pall	pall
pane	pane
pants	pants
paradise	par.a.dise
part	part
passage	pas.sage
passion	pas.sion
pass	pass
pastime	pas.time
past	past
patient	pa.tient
paused	paused
pavement	pave.ment
pen	pen
people	peo.ple
phaeton	pha.e.ton
pictured	pic.tured
pier	pier
piledand	piled.and
pile	pile
pillowd	pil.lowd
plainly	plain.ly
plan	plan
pleased	pleased
pleasures	pleas.ures
plot	plot
possessed	pos.sessed
possesse	pos.sesse
possession	pos.ses.sion
pourd	pourd
pray	pray
priestlike	priest.like
prime	prime
prison	pris.on
profuse	pro.fuse
prophesying	pro.phes.y.ing
prop	prop
proved	proved
pull	pull
pulse	pulse
punishment	pun.ish.ment
pure	pure
quench	quench
quickly	quick.ly
quiet	qui.et
rack	rack
radiant	ra.di.ant
rafters	raf.ters
rage	rage
rain	rain
raise	raise
rang	rang
ran	ran
rare	rare
raves	raves
rayne	rayne
reade	reade
realm	realm
reck	reck
reeds	reeds
refresh	re.fresh
rein	rein
remembered	re.mem.bered
removes	re.moves
repair	re.pair
resemble	re.sem.ble
rested	rest.ed
rest	rest
retired	re.ti.red
riddled	rid.dled
ridge	ridge
right	right
rills	rills
